gauge_id,lcm2000-woodland,lcm2000-arable-horticultural,lcm2000-grassland,lcm2000-mountain-heath-bog,lcm2000-urban
10002,0.1135,0.4389,0.3459,0.0849,0.0156
10003,0.0688,0.5768,0.3216,0.0193,0.013
1001,0.0981,0.0575,0.4148,0.3931,0.004
101002,0.069,0.5114,0.3487,0.0,0.0424
101005,0.0613,0.46,0.3968,0.0,0.0494
102001,0.0742,0.062,0.8544,0.0,0.0041
106001,0.0352,0.0,0.0669,0.8573,0.0
107001,0.0,0.0126,0.3414,0.645,0.0005
11001,0.1589,0.2958,0.2888,0.2403,0.0119
11003,0.1569,0.1069,0.2474,0.4798,0.0011
11004,0.133,0.4272,0.3514,0.0788,0.0094
12001,0.1307,0.0354,0.1207,0.701,0.0035
12002,0.162,0.0575,0.1381,0.63,0.0052
12005,0.086,0.0041,0.0775,0.8086,0.0003
12006,0.0207,0.0014,0.1175,0.8549,0.0001
12007,0.0207,0.0,0.0517,0.9215,0.0
12008,0.1426,0.0448,0.1122,0.6955,0.0045
12009,0.0002,0.0,0.0428,0.9562,0.0003
13001,0.1521,0.546,0.2157,0.0662,0.0194
13004,0.1498,0.0232,0.1884,0.638,0.0
13005,0.0949,0.6823,0.1771,0.0174,0.0194
13007,0.0623,0.246,0.1798,0.5033,0.0057
13008,0.1026,0.214,0.2419,0.4355,0.0042
14001,0.1212,0.5209,0.2902,0.0185,0.0416
14002,0.0746,0.4596,0.2785,0.0348,0.1444
14005,0.0915,0.5836,0.2989,0.0046,0.0148
15006,0.1594,0.0721,0.2466,0.481,0.0041
15007,0.1385,0.0072,0.3096,0.4953,0.0014
15010,0.1522,0.1291,0.3408,0.3613,0.0033
15011,0.0731,0.0042,0.273,0.6018,0.0006
15012,0.132,0.0024,0.1579,0.6524,0.0011
15013,0.2195,0.0379,0.3188,0.4142,0.002
15014,0.1112,0.0,0.2412,0.6444,0.0
15016,0.1197,0.001,0.3532,0.4662,0.0013
15021,0.2389,0.1802,0.3399,0.1883,0.0069
15023,0.3223,0.0032,0.2565,0.4041,0.0
15024,0.1468,0.0002,0.4033,0.4339,0.0008
15025,0.1607,0.0101,0.3145,0.5091,0.0001
15030,0.0936,0.5501,0.2442,0.0818,0.0277
15039,0.0135,0.0,0.0871,0.8898,0.0
16001,0.146,0.1049,0.3786,0.3296,0.0121
16003,0.0668,0.0054,0.432,0.4877,0.0017
16004,0.1436,0.1634,0.3867,0.266,0.0174
17001,0.2677,0.0546,0.3711,0.2126,0.0382
17003,0.1448,0.0825,0.4608,0.1132,0.189
17004,0.171,0.2869,0.345,0.0223,0.1383
17005,0.1218,0.1811,0.4723,0.0978,0.1047
17015,0.1968,0.2568,0.5032,0.0192,0.0173
17018,0.024,0.5535,0.2051,0.0326,0.1255
18001,0.096,0.1011,0.5192,0.2533,0.0174
18002,0.112,0.0949,0.6764,0.0726,0.0289
18003,0.1777,0.0033,0.4004,0.3554,0.0048
18008,0.1757,0.0047,0.3672,0.4101,0.003
18010,0.2864,0.0331,0.491,0.1472,0.0051
18011,0.2197,0.0281,0.448,0.252,0.0075
18014,0.2065,0.1254,0.4103,0.2014,0.0367
18017,0.0115,0.0,0.271,0.7175,0.0
18018,0.0477,0.0,0.273,0.6529,0.0
19001,0.1697,0.2302,0.3336,0.1063,0.1462
19006,0.1001,0.1383,0.2612,0.3006,0.176
19010,0.1693,0.0732,0.3193,0.1202,0.3078
19017,0.1124,0.3868,0.2615,0.0147,0.2147
19020,0.1306,0.1213,0.4345,0.1683,0.1347
20002,0.0363,0.7363,0.2164,0.0021,0.0081
20003,0.1326,0.4916,0.3099,0.053,0.0102
20007,0.1534,0.3377,0.3116,0.1907,0.0025
2001,0.0537,0.0003,0.0712,0.8428,0.0001
2002,0.0391,0.0001,0.0746,0.8675,0.0009
21003,0.1477,0.0652,0.5252,0.2476,0.0084
21006,0.1983,0.0529,0.4671,0.2679,0.0071
21008,0.1996,0.2655,0.4525,0.0631,0.0144
21009,0.1516,0.2334,0.4491,0.1505,0.0105
21011,0.1165,0.0099,0.4386,0.4109,0.001
21012,0.2746,0.1252,0.5226,0.0547,0.0176
21013,0.0887,0.038,0.6282,0.2435,0.0015
21015,0.0777,0.1441,0.5135,0.2615,0.0031
21016,0.1316,0.4621,0.3787,0.022,0.0053
21017,0.2688,0.0,0.4288,0.3024,0.0
21018,0.1239,0.1158,0.5602,0.1812,0.0113
21022,0.1152,0.2143,0.4175,0.2449,0.0052
21023,0.0527,0.7595,0.1789,0.0005,0.0075
21024,0.3217,0.2217,0.3471,0.088,0.0188
21026,0.8099,0.0039,0.0961,0.0854,0.0013
21027,0.1054,0.2818,0.4942,0.1075,0.0096
22001,0.1593,0.1781,0.5275,0.1251,0.0084
22006,0.0699,0.4741,0.4185,0.0064,0.0278
22007,0.1907,0.2159,0.5255,0.0592,0.0052
22009,0.1651,0.1033,0.5593,0.1641,0.0065
23001,0.2078,0.0569,0.5376,0.1761,0.0102
23004,0.0763,0.0207,0.6724,0.2152,0.0084
23006,0.0535,0.0078,0.6297,0.3021,0.0034
23007,0.1508,0.1042,0.4195,0.2586,0.0437
23008,0.1954,0.0144,0.5898,0.1891,0.0055
23011,0.3123,0.0048,0.0856,0.5973,0.0
23016,0.0572,0.3382,0.1634,0.012,0.4114
24001,0.0843,0.1422,0.5333,0.1836,0.0413
24003,0.0377,0.0008,0.7204,0.2098,0.003
24004,0.2527,0.0271,0.3096,0.3985,0.0016
24005,0.1204,0.2581,0.5304,0.0172,0.0646
25001,0.0446,0.1298,0.4548,0.3384,0.0123
25003,0.0031,0.0,0.0789,0.9078,0.0
25006,0.0123,0.008,0.3405,0.6176,0.0044
25012,0.0019,0.0,0.7631,0.2303,0.0
25020,0.0525,0.5202,0.2897,0.0002,0.1278
25021,0.0512,0.5441,0.2689,0.0,0.1222
25029,0.1321,0.4136,0.3356,0.0621,0.0455
26003,0.0171,0.781,0.169,0.0,0.0155
26005,0.0183,0.7881,0.1631,0.0001,0.0103
26006,0.0147,0.7248,0.201,0.0,0.0149
26008,0.0582,0.5907,0.2804,0.0007,0.0296
26009,0.0396,0.6932,0.2309,0.0001,0.0139
27001,0.0856,0.1874,0.5009,0.1421,0.0662
27002,0.0853,0.0603,0.6178,0.1778,0.041
27003,0.1229,0.0937,0.4487,0.092,0.2196
27006,0.1566,0.0617,0.3564,0.1883,0.2023
27007,0.0778,0.1401,0.5595,0.1861,0.0233
27009,0.0702,0.3134,0.4392,0.1237,0.0386
27021,0.146,0.2343,0.2902,0.0565,0.2552
27023,0.1769,0.2793,0.3724,0.0006,0.1612
27025,0.1136,0.2946,0.3024,0.0047,0.2774
27026,0.1069,0.223,0.37,0.0095,0.287
27029,0.1265,0.0153,0.4612,0.2728,0.0838
27030,0.1577,0.3266,0.2803,0.0003,0.2229
27032,0.0019,0.0014,0.4362,0.5106,0.0017
27034,0.0548,0.0228,0.7059,0.1928,0.0112
27035,0.0618,0.0329,0.8085,0.0468,0.0385
27038,0.0335,0.5296,0.3313,0.0,0.099
27041,0.1543,0.4146,0.2676,0.1211,0.031
27042,0.1024,0.1327,0.3893,0.3243,0.0299
27043,0.0546,0.0109,0.6764,0.2271,0.0122
27047,0.1394,0.0,0.845,0.013,0.0
27049,0.1823,0.2098,0.3135,0.2555,0.0202
27051,0.0877,0.0728,0.8159,0.0,0.022
27062,0.0832,0.2151,0.4847,0.1341,0.0649
27064,0.0689,0.6718,0.1283,0.0001,0.1197
27065,0.1981,0.0416,0.5041,0.1298,0.104
27071,0.0636,0.3516,0.4132,0.1245,0.0339
27073,0.05,0.7059,0.1848,0.0065,0.0528
27077,0.0932,0.0313,0.2696,0.0068,0.5685
27079,0.1457,0.1056,0.4009,0.1314,0.188
27080,0.0992,0.0424,0.5427,0.0621,0.2383
27084,0.0639,0.0273,0.7625,0.0931,0.0438
27087,0.1868,0.4841,0.2333,0.0573,0.0342
27089,0.0904,0.0915,0.5909,0.1656,0.0444
27090,0.0548,0.0668,0.5405,0.3017,0.0195
28001,0.1433,0.0039,0.3329,0.4713,0.0032
28003,0.0481,0.032,0.135,0.001,0.7382
28008,0.0604,0.0765,0.8074,0.0146,0.0241
28009,0.0723,0.2726,0.4333,0.0154,0.19
28012,0.0778,0.2527,0.4848,0.0099,0.1648
28015,0.1683,0.4694,0.1682,0.0214,0.16
28018,0.0775,0.1154,0.7413,0.0124,0.0411
28022,0.0699,0.2986,0.4178,0.0142,0.1836
28023,0.0358,0.0202,0.8228,0.0208,0.0201
28024,0.0303,0.5145,0.3766,0.0,0.0738
28026,0.0756,0.4673,0.2894,0.0,0.1584
28031,0.0574,0.0593,0.822,0.0341,0.0169
28033,0.0035,0.0,0.9275,0.052,0.0
28039,0.0596,0.0395,0.1795,0.0,0.6972
28040,0.0507,0.0554,0.584,0.006,0.2997
28043,0.1129,0.0315,0.5523,0.2478,0.0265
28044,0.1435,0.6186,0.1556,0.0,0.08
28046,0.0432,0.0418,0.8753,0.0089,0.0128
28048,0.0513,0.2437,0.5214,0.0,0.1757
28050,0.1191,0.4689,0.1744,0.0042,0.2188
28052,0.0822,0.361,0.5036,0.0005,0.0503
28055,0.0692,0.208,0.6631,0.0,0.0573
28056,0.0673,0.3461,0.3736,0.0,0.1981
28060,0.1367,0.468,0.2412,0.0211,0.1265
28066,0.0755,0.0721,0.2176,0.0,0.6139
28067,0.091,0.1194,0.5907,0.0755,0.1007
28072,0.0387,0.6573,0.2016,0.0,0.0971
28074,0.0529,0.4199,0.3518,0.0,0.1649
28080,0.0861,0.1505,0.2074,0.0005,0.5235
28081,0.0289,0.0297,0.1259,0.0012,0.7666
28082,0.065,0.4916,0.3278,0.0,0.1077
28085,0.0974,0.1019,0.6192,0.0846,0.0731
28091,0.1193,0.5525,0.1591,0.0006,0.1579
28093,0.0513,0.422,0.3555,0.0,0.161
28115,0.0382,0.17,0.1535,0.0,0.6311
28116,0.1831,0.3883,0.1416,0.0202,0.2572
28117,0.1111,0.0527,0.6469,0.1189,0.0388
29002,0.066,0.8234,0.0988,0.0,0.0094
29003,0.0579,0.7897,0.0986,0.0,0.0531
29005,0.1199,0.4984,0.3291,0.0,0.0463
29009,0.0175,0.778,0.1828,0.0,0.0183
30001,0.0708,0.6046,0.2279,0.0008,0.0896
30004,0.0938,0.7277,0.1483,0.0,0.0285
30005,0.1064,0.605,0.2216,0.0019,0.0593
30011,0.0507,0.7665,0.1613,0.0001,0.0183
30012,0.0385,0.7018,0.2266,0.0,0.0309
30014,0.2274,0.5721,0.1316,0.0,0.0689
30015,0.0864,0.6302,0.2547,0.0,0.0256
3003,0.0852,0.0,0.2628,0.6306,0.0
31002,0.1345,0.6519,0.1652,0.0008,0.0445
31006,0.1034,0.4821,0.2676,0.0001,0.0707
31010,0.1395,0.5109,0.3168,0.0,0.0307
31021,0.0739,0.4589,0.4219,0.0,0.0412
31023,0.3257,0.6122,0.0416,0.0,0.0205
31025,0.0874,0.3587,0.4985,0.0,0.0548
32003,0.2098,0.5166,0.2251,0.0,0.0463
32004,0.0923,0.5129,0.2786,0.0004,0.1098
32006,0.0855,0.4933,0.3461,0.0,0.0696
32008,0.0773,0.5053,0.3202,0.0,0.0901
33006,0.1603,0.5338,0.2682,0.0,0.0366
33007,0.0888,0.7387,0.1387,0.0,0.0328
33012,0.0573,0.7458,0.1766,0.0,0.0203
33013,0.0837,0.7185,0.1427,0.0,0.0551
33014,0.1649,0.607,0.1455,0.0005,0.0793
33018,0.0919,0.4928,0.3717,0.0,0.0413
33019,0.1571,0.6239,0.1729,0.0,0.0454
33020,0.027,0.7701,0.1587,0.0,0.042
33021,0.0332,0.7198,0.1932,0.0,0.0472
33022,0.0832,0.5981,0.2016,0.0,0.1118
33023,0.0685,0.6634,0.2306,0.0,0.0357
33024,0.0891,0.6801,0.1571,0.0,0.0678
33026,0.0907,0.5619,0.2564,0.0001,0.0845
33028,0.1231,0.4998,0.2605,0.0,0.1114
33029,0.1253,0.6933,0.1402,0.0,0.0404
33031,0.1175,0.4611,0.2834,0.0,0.1249
33032,0.0861,0.6855,0.2155,0.0008,0.01
33033,0.0778,0.6342,0.1535,0.0,0.1336
33034,0.1533,0.6325,0.1633,0.0,0.0503
33035,0.1121,0.6459,0.1746,0.0014,0.0624
33039,0.101,0.5133,0.2966,0.0002,0.0823
33053,0.0672,0.764,0.112,0.0,0.0445
33054,0.1133,0.7073,0.1573,0.0008,0.0176
33058,0.0512,0.5581,0.2987,0.0,0.0876
34002,0.0687,0.7087,0.1852,0.0,0.0374
34003,0.1128,0.7496,0.1171,0.0,0.0194
34004,0.0898,0.7402,0.1359,0.0003,0.0306
34005,0.0865,0.6821,0.1665,0.0,0.0595
34006,0.0529,0.7754,0.1371,0.0,0.0345
34007,0.047,0.8019,0.1171,0.0,0.034
34008,0.087,0.6798,0.1304,0.0,0.1024
34010,0.0569,0.7312,0.1723,0.0,0.0394
34011,0.0701,0.7742,0.13,0.0005,0.0247
34012,0.0376,0.8352,0.1154,0.0,0.0099
35003,0.0687,0.7406,0.149,0.0015,0.0401
35008,0.0572,0.7743,0.1054,0.0,0.063
36003,0.0519,0.7498,0.1496,0.0,0.038
36006,0.0618,0.7577,0.13,0.0,0.0426
36009,0.0433,0.852,0.0831,0.0,0.0216
36010,0.0406,0.8696,0.0701,0.0,0.0178
36011,0.0592,0.6213,0.139,0.0,0.1732
36012,0.0802,0.7144,0.1736,0.0,0.0283
37001,0.0791,0.6172,0.1601,0.0019,0.1264
37003,0.0737,0.7544,0.1271,0.0,0.0364
37005,0.0747,0.7352,0.1377,0.0,0.0478
37008,0.0621,0.6898,0.1561,0.0,0.0759
37009,0.0392,0.6877,0.1406,0.0,0.1261
37010,0.0703,0.7469,0.1193,0.0,0.0565
37011,0.0841,0.7073,0.141,0.0,0.049
37018,0.1139,0.3609,0.2668,0.0021,0.2489
37019,0.0503,0.229,0.2511,0.0024,0.4431
37020,0.0691,0.7072,0.1506,0.0,0.0548
37031,0.1006,0.3108,0.2077,0.0,0.3779
37033,0.1052,0.0737,0.1316,0.0,0.6895
38001,0.1091,0.5502,0.1863,0.0,0.1483
38003,0.126,0.5647,0.1826,0.0,0.1263
38004,0.0771,0.7281,0.1592,0.0,0.035
38007,0.1038,0.2223,0.2224,0.0,0.4183
38012,0.093,0.2423,0.1967,0.0,0.465
38014,0.1342,0.1925,0.2408,0.001,0.4284
38017,0.1214,0.6923,0.1613,0.0,0.0249
38018,0.1232,0.3186,0.2097,0.0,0.3438
38021,0.2324,0.3232,0.2879,0.0005,0.1544
38026,0.0932,0.6497,0.1778,0.0,0.0686
38029,0.0573,0.7869,0.137,0.0,0.0184
38030,0.1085,0.595,0.1665,0.0,0.1288
39001,0.1609,0.3562,0.3217,0.0045,0.1404
39002,0.1078,0.4646,0.341,0.0,0.0721
39004,0.2456,0.1124,0.2603,0.0001,0.3808
39005,0.0856,0.009,0.1631,0.0,0.7417
39006,0.131,0.4588,0.3444,0.0,0.0487
39007,0.2254,0.1809,0.2538,0.0282,0.297
39008,0.108,0.4545,0.3516,0.0,0.0667
39010,0.1446,0.3615,0.2559,0.0001,0.2308
39011,0.2592,0.3116,0.2682,0.0164,0.1351
39012,0.1327,0.0757,0.2742,0.0001,0.5148
39014,0.0949,0.5129,0.1993,0.0,0.1874
39015,0.1212,0.4095,0.3023,0.0009,0.1499
39016,0.1495,0.4521,0.315,0.0012,0.0504
39017,0.1705,0.3743,0.4072,0.0,0.0456
39019,0.1026,0.5372,0.3027,0.001,0.024
39020,0.1621,0.4076,0.3975,0.0,0.0288
39021,0.0919,0.5033,0.3339,0.0,0.0642
39022,0.1471,0.3877,0.2859,0.0,0.1654
39023,0.1934,0.2358,0.3592,0.0002,0.2046
39025,0.2406,0.2896,0.3785,0.0018,0.0656
39027,0.175,0.4554,0.282,0.005,0.0444
39028,0.2489,0.4887,0.2188,0.0,0.0261
39029,0.4917,0.1773,0.2296,0.0011,0.098
39034,0.1416,0.4852,0.3143,0.0,0.0493
39035,0.1776,0.3538,0.3813,0.0,0.072
39036,0.5365,0.1482,0.24,0.0025,0.0729
39037,0.0678,0.5585,0.3189,0.0,0.0192
39042,0.0972,0.6419,0.227,0.0,0.0207
39049,0.1227,0.0593,0.1864,0.0008,0.6284
39052,0.2328,0.0596,0.2909,0.009,0.403
39054,0.2132,0.168,0.3252,0.0007,0.2819
39056,0.1663,0.1076,0.2239,0.0001,0.4967
39061,0.1137,0.275,0.5021,0.0,0.0304
39065,0.0869,0.3845,0.4885,0.0,0.0401
39069,0.2415,0.1478,0.3139,0.0012,0.2807
39072,0.1319,0.4054,0.3403,0.002,0.1038
39078,0.1475,0.4818,0.2884,0.0003,0.0729
39081,0.0759,0.5284,0.3217,0.0,0.0634
39087,0.0558,0.1845,0.4608,0.0,0.2848
39088,0.1791,0.3549,0.3346,0.0,0.1243
39095,0.1531,0.0135,0.163,0.0008,0.6695
39099,0.1061,0.5217,0.3377,0.0,0.0293
39101,0.1071,0.4731,0.3392,0.0,0.0264
39105,0.0974,0.3621,0.4542,0.0,0.0832
39108,0.2351,0.3264,0.3937,0.0,0.0351
39114,0.0723,0.5737,0.2764,0.009,0.0202
39120,0.1509,0.4816,0.3104,0.0004,0.0481
39125,0.0992,0.5572,0.2467,0.0,0.0886
39127,0.2291,0.4505,0.2327,0.0,0.0809
39141,0.3026,0.2555,0.2832,0.0182,0.1314
39142,0.1656,0.4496,0.3456,0.0,0.0282
39143,0.15,0.4007,0.402,0.0001,0.0358
39144,0.1138,0.5033,0.3243,0.0,0.0509
40003,0.2331,0.275,0.3658,0.0015,0.1098
40004,0.3394,0.133,0.462,0.0,0.0528
40005,0.1502,0.4052,0.3574,0.0003,0.0775
40006,0.261,0.3015,0.3151,0.0002,0.1131
40007,0.3514,0.1641,0.3212,0.0064,0.1418
40009,0.3338,0.1904,0.3702,0.0003,0.0746
40010,0.2193,0.2566,0.4051,0.0001,0.0988
40011,0.1529,0.4723,0.2833,0.0,0.0825
40012,0.2345,0.2836,0.3003,0.0003,0.1706
40013,0.2758,0.2232,0.2844,0.0001,0.2024
40016,0.1837,0.1786,0.2354,0.0007,0.3974
